,Фишинг,Компания,Время
0,https://aol-102059.weeblysite.com/,AOL Inc.,15:06:51
1,https://atlt11.weebly.com/,AT&T Inc.,15:05:02
2,https://globalgtt.online/98221d95371eb9444at981ba97fz709883db.html,Outlook,15:02:56
3,https://coordinatedimpolitediscussion.antoniower99.repl.co/,Generic/Spear Phishing,15:01:21
4,http://3659jjj.net/,Bet365,14:54:25
5,https://memebermetrending3202.16-b.it/,WhatsApp,14:49:13
6,https://express-redelivery.info.gf/,"DHL Airways, Inc.",14:42:36
7,https://bcnconcepts.com/,"Facebook, Inc.",14:35:19
8,http://universaldesignrealtors.com/banquepostale/1195/,La Banque postale,14:28:11
9,http://www.minttportugal.com/usps/,United States Postal Service,14:20:48
10,http://telekom.culturizer.app/,Deutsche Telekom,14:20:19
11,http://41.160.2.216/,Office365,14:14:44
12,http://192.169.150.169/,Webmail Providers,14:14:27
13,http://htechnicalspecialsupply.weebly.com/,Rackspace,14:13:33
14,https://steamncommuuntiy.com/profiles/765611983644799383,Steam,14:11:38
15,http://imap.com-appie.online/,Apple Inc.,14:10:55
16,https://renner.raydlum.info/consultar/login.php,Lojas Renner,14:08:41
17,http://colorednoiseproductions.com/,Banco Bradesco,14:07:18
18,http://ucmidasevent.my.id/,Tencent,14:03:34
19,http://active-datos.com/,Bancolombia,13:58:21
20,https://fastcart.co.za/wp-admin/network/support/C-Agricole/6e61c1cbfb39c56/region.php?particulier,Credit Agricole S.A.,13:47:12
21,http://ups-trackid728923.is-certified.com/Find?sslchannel=true&sessionid=ZeuVSbjCbZZaGyXpV8un5iRxbwfuUPwb9hLsg4YeHpNd0AroSRFDNgwM0NrWlFxR5JNKIbbdBS8db8yIeKDIjAbyvlswc7xOdATrkOrq8kS9gIWvm3npssbvEZ5kYCwBat,UPS,13:46:04
22,http://a13c7ebfb779.duckdns.org/,Australian Government,13:45:27
23,https://imaje.in/unionbankph/login.php,The Union Bank of the Philippines,13:42:43
24,https://commbank-supports-on.line.pm/,Commonwealth Bank of Australia,13:41:41
25,https://paypsy-bsank.com/index2.asp,PayPay,13:40:49
26,https://hm.ru/F6RKE1,International Card Services B.V,13:35:17
27,https://acessoluizafacil.com/?gclid=EAIaIQobChMIprObqavC_QIVbsqUCR1I8w,Magalu,13:30:57
28,https://uniswap.claimweb3.xyz/,Crypto/Wallet,13:29:39
29,http://akaunter.com/wekmmm/login.php?cmd=login_submit&id=b5b3a64f24b31d5b7aa546c7669159d4b5b3a64f24b31d5b7aa546c7669159d4&session=b5b3a64f24b31d5b7aa546c7669159d4b5b3a64f24b31d5b7aa546c7669159d4,Wells Fargo & Company,13:17:00
30,http://www.berkahchipsedekah.com/,Tencent,15:11:52
31,https://ageckocan.com.au/hki/sdn/jhg/app/login.php,Generic/Spear Phishing,15:11:32
32,http://www.bb836591.com/,Bet365,15:11:26
33,http://www.lambareimport.com.py/CNN/GlobalSources/,Global Sources (HK),15:11:20
34,https://aol-101785.weeblysite.com/,AOL Inc.,15:10:51
60,https://aol-101175.weeblysite.com/,AOL Inc.,15:17:01
90,http://053257899.weebly.com/,Generic/Spear Phishing,15:23:34
91,https://billowing-lake-c7e9.fk01kibl.workers.dev/36f408f2-308c-4c62-b1c4-ac2458ce2863,Office365,15:22:41
92,http://galiciaxonlinebankiing.atsnx.com/,Banco Galicia,15:21:21
93,https://aol-101009.weeblysite.com/,AOL Inc.,15:21:19
94,http://tracking-usps-alertamms.dynnamn.ru/,United States Postal Service,15:20:30
95,https://kitchenexpress.co.za//redirect.php?v=2611d9c0a62fe04,1&1 Ionos,15:19:24
120,https://focoeduc.com.br/muihu/tlek/ios/oauth2,Generic/Spear Phishing,15:30:17
150,http://bsnesspgs2010201104idrcvrysrstrctd.duckdns.org/,"Facebook, Inc.",15:36:15
151,https://vncf6742.com/,Shopee,15:35:49
152,http://ikmanager.pro/,Generic/Spear Phishing,15:32:58
210,https://rhop223.wixsite.com/my-site,AT&T Inc.,15:46:50
211,http://cv77202.tw1.ru/new/q99550/a6635011.php?id=72853140,Generic/Spear Phishing,15:46:19
212,http://dd83659.com/,Bet365,15:44:03
213,https://www.ups-info.shop/,United States Postal Service,15:40:34
214,https://staencommumity.com/proflies/76561197960279937,Steam,15:38:51
215,https://flame-far-cupboard.glitch.me/htuilkd.html,Coinbase,15:38:12
270,https://staencommumity.com/proflies/76561197960279900,Steam,15:47:18
